label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
3,0.0,0.0,0.0,0.08672506813140239,-0.36829408637726646,-0.09311265006128368,0.09181213377182627,-0.716034098346434,-0.17816516512271208,0.05916966328865642,-0.8569365934592498,-0.2590455072222143,-0.029993235997056732,-0.6431959078008112,-0.32038661539362234,-0.40505477057627093,-0.8723139690215894,-0.18298297814931422,-0.24681516898824388,-1.0,-0.2896587485825787,-0.08372628108837642,-0.834581382996869,-0.3335838764468594,-0.0916352395064763,-0.7092978833912099,-0.3626212508389407,-0.5285338018282689,-0.631778433493969,-0.2148525387353742,-0.2899630803820645,-0.7285504407333047,-0.3224535446831332,-0.10180767639780922,-0.5794633665079739,-0.3458558031462135,-0.14183695093025372,-0.5261278251968372,-0.36275027860049625,-0.5471906118169436,-0.36809414841451454,-0.2520756359528929,-0.2722176260337753,-0.43572649661472274,-0.3482455136383026,-0.1061824771658421,-0.3433569651721624,-0.33240116432567124,-0.17143240074887497,-0.30792366571908875,-0.32146577207562815,-0.5167942805543049,-0.12014396436992544,-0.2995774788838886,-0.2549607206622668,-0.16660864323905825,-0.3531349569816449,-0.13884149618660696,-0.15840079451053946,-0.33569353259196966,-0.18927680744483125,-0.1456232902197804,-0.3248076729954106
3,0.0,0.0,0.0,0.09228538005830958,-0.36756597269521046,-0.0780628957715831,0.09604034547875726,-0.7237520954972539,-0.1497845038195462,0.057489576100927274,-0.8537474156419993,-0.21914585468478212,-0.029162852135042647,-0.6461155242585183,-0.2698304304258497,-0.3886690585678121,-0.873341805054087,-0.1673804825467442,-0.23855688083673707,-1.0,-0.2667651028477347,-0.08182773364381633,-0.8313091830714379,-0.3080242782910421,-0.08975925441096785,-0.6992489509501696,-0.3356191382630794,-0.5093988865280052,-0.6378509513672262,-0.20329203350629363,-0.2727267639478099,-0.7264169602163053,-0.3070942955743822,-0.09653967181913395,-0.5716681047996556,-0.33188787433390604,-0.14002432494962805,-0.5060301406855602,-0.3497100246115465,-0.5265396259272264,-0.3743555125191445,-0.24310351514667636,-0.2655980717339765,-0.43729368929186213,-0.33428986796791493,-0.10551640876347389,-0.34215036270837024,-0.32042155737103695,-0.16672910577827246,-0.30684538244021153,-0.311146578993401,-0.4942448469823888,-0.12610536535722877,-0.29162321010652487,-0.2500176571912563,-0.16655673129627738,-0.341086627372426,-0.1356314620143167,-0.15329643250861844,-0.32310295996652655,-0.18231646007286514,-0.14215454894579013,-0.3125726980032058
3,0.0,0.0,0.0,0.09489912360532703,-0.368030177360658,-0.07100406609819862,0.10009749223168384,-0.7223807068922484,-0.1391474780429316,0.06650038310250908,-0.8592502089897756,-0.20678682817464691,-0.023218627828173893,-0.6527068399329052,-0.2573386211270866,-0.3708344277821798,-0.8738804741969833,-0.15782717219307071,-0.23144634003590156,-1.0,-0.24918992721781708,-0.07224441395125279,-0.8433455148668841,-0.290465871105016,-0.0698372441033276,-0.7150275365146282,-0.3191312302459073,-0.487253858000303,-0.6481665029988807,-0.19379022541652685,-0.27072148611076297,-0.7316106980966944,-0.2883282081502112,-0.09435068211864951,-0.6071709378327624,-0.3162359997904022,-0.12116916564306181,-0.5410540932023555,-0.3385565165373769,-0.5071281044654603,-0.3906708272071446,-0.23285428364374858,-0.2721084479825266,-0.4486698223123697,-0.3120680297759391,-0.10607236550268172,-0.3765024648259581,-0.3032978705731411,-0.14729261511331224,-0.3428378359231354,-0.2999570314097106,-0.475951898019529,-0.14835908966560546,-0.2805300830092044,-0.2506062065876193,-0.18940413663517197,-0.32226812045624853,-0.1381255115753633,-0.1939087246010666,-0.3086913326536221,-0.17410417772468717,-0.18774006576502247,-0.3032057188885255
3,0.0,0.0,0.0,0.09475488053121292,-0.3637168793237664,-0.08930245333169526,0.09973562571926857,-0.7097838452916337,-0.16696712818060278,0.06425006419027052,-0.843932150174939,-0.2406981066717848,-0.027373250169821985,-0.6311784199061432,-0.2951583178376355,-0.393982918069842,-0.8779453349642901,-0.1738123979164588,-0.24283528226302842,-1.0,-0.27625580070538563,-0.07728139823258061,-0.8257741607583063,-0.32233346599717594,-0.08543194577587174,-0.6999375173098156,-0.35403032657953915,-0.5268532607579546,-0.6375244918643725,-0.20536061107830644,-0.29467781816845046,-0.7258509848540461,-0.31261180272543615,-0.10313921340794344,-0.5757895062891715,-0.3419304180400377,-0.1387798754226545,-0.5105186380974673,-0.3620589324644396,-0.5476108852175848,-0.36916525190894434,-0.24164743056641586,-0.2951125420243461,-0.4277324206874321,-0.3330017868421026,-0.12063436665959051,-0.3443553010611619,-0.32285311502758235,-0.17946425319569972,-0.306629235295606,-0.3160031366815163,-0.5194662455618513,-0.12212387593277285,-0.2881749950542365,-0.2597964904629086,-0.14921892098849954,-0.33731929875346817,-0.14216281330269748,-0.1412206374187467,-0.3235813611633167,-0.19437069197622187,-0.12536793817674216,-0.31607719801439793
3,0.0,0.0,0.0,0.09166905447359067,-0.3616658412541925,-0.07667454375579477,0.10042741652206813,-0.7050197444021018,-0.1509439229968123,0.07007839969124914,-0.8453220688289428,-0.22368901133392669,-0.02309428514784827,-0.6377209060816369,-0.27809651305089106,-0.3769231844622404,-0.8698329114905012,-0.16501663235060515,-0.23232187189679127,-1.0,-0.2594747287883568,-0.07071091626068444,-0.8374027324143386,-0.2992826533425378,-0.0765731427916613,-0.7099453598591071,-0.32671613315126813,-0.5013059826974905,-0.6392673023168314,-0.19899331774142082,-0.27485371265540604,-0.7323485111257859,-0.29386754205275545,-0.0939648166235834,-0.5916596977196049,-0.31779053288522807,-0.1306414759365753,-0.5276033599333007,-0.3372650476742382,-0.5190119884236039,-0.38279141032371394,-0.23637386639285388,-0.26418354560872676,-0.43835797994066056,-0.3149184497294437,-0.10096939273675917,-0.35859484451661744,-0.3016075590292096,-0.16115280492918202,-0.32149388393023737,-0.2962597613283952,-0.4868695020126378,-0.14462041135152587,-0.2831442616672748,-0.23612159465066668,-0.17967587543716682,-0.3242600677896081,-0.12530702537012292,-0.1759976804056472,-0.3083034998601796,-0.17589167388696184,-0.1621256871847806,-0.30127016548843005
3,0.0,0.0,0.0,0.08532611954349835,-0.37038531735785546,-0.07990743199575859,0.09131150301227278,-0.7202423978527669,-0.15369936862087583,0.05452115272839187,-0.8494202129930967,-0.22472858708051355,-0.03848073656590947,-0.6342110287969693,-0.2777160433744036,-0.3812997588101982,-0.8765595417548644,-0.16888713812298847,-0.23941970853226902,-1.0,-0.2617449076051882,-0.079024120528967,-0.8348067793340099,-0.30161791733575083,-0.08606378287651971,-0.7087433460399936,-0.32991020459433146,-0.5042935590308777,-0.6427649586463812,-0.20142256598652827,-0.2884599386195075,-0.7282931944030514,-0.2970069683674949,-0.10538822796407796,-0.5949757029097433,-0.32433901001560383,-0.1378772199871805,-0.5337469912119827,-0.34683904154440554,-0.5225508371505309,-0.38186379247897584,-0.2368983864931707,-0.28593630695290834,-0.4394807416547687,-0.3184404413789512,-0.11500954603614373,-0.36506170684321027,-0.30906831146789787,-0.16686734472397033,-0.330530035664053,-0.3057013673256505,-0.49236308811448254,-0.13949868541490906,-0.28138284301517436,-0.25915917221518264,-0.17686706373043914,-0.32442944789423983,-0.14475547699536936,-0.17741975809333277,-0.3098451092346409,-0.1908630860125624,-0.16593486658449266,-0.3037581698360954
3,0.0,0.0,0.0,0.09672832079103955,-0.37981361568078403,-0.08570690186119889,0.10530604655232761,-0.7162180609030452,-0.1651621871254621,0.07215173258662932,-0.8338108155407771,-0.24224000586014885,-0.020546136681834092,-0.6175017500875044,-0.30049300835402354,-0.3685286412758138,-0.8766731930346517,-0.17138287315976383,-0.2251217951522576,-1.0,-0.2658852467159416,-0.06826205372768639,-0.8419463160658033,-0.30384549238447506,-0.07778099842492124,-0.7153837066853342,-0.3300017806676392,-0.49316016582079103,-0.6441824903745187,-0.2039323131317624,-0.2674260588029401,-0.7301903220161008,-0.29780495598265494,-0.08645301015050752,-0.5877852642632132,-0.31842853403655763,-0.12559989718235912,-0.5356453447672384,-0.33507957752623213,-0.5110802141669584,-0.3805243699684984,-0.24136889980484608,-0.2573121390444522,-0.4320913545677284,-0.3236355092290673,-0.09542756825341267,-0.35389306965348266,-0.3106347654418779,-0.1584953622681134,-0.33255469023451173,-0.30412706505685866,-0.47846998599929996,-0.1329309590479524,-0.2887877121517134,-0.24030856230311515,-0.15533667308365418,-0.33180519115066337,-0.12647308146657332,-0.16162145607280365,-0.3161172700358576,-0.1697846298564928,-0.1640046377318866,-0.30908891861828675
3,0.0,0.0,0.0,0.09672832079103955,-0.37981361568078403,-0.08570690186119889,0.10530604655232761,-0.7162180609030452,-0.1651621871254621,0.07215173258662932,-0.8338108155407771,-0.24224000586014885,-0.020546136681834092,-0.6175017500875044,-0.30049300835402354,-0.3685286412758138,-0.8766731930346517,-0.17138287315976383,-0.2251217951522576,-1.0,-0.2658852467159416,-0.06826205372768639,-0.8419463160658033,-0.30384549238447506,-0.07778099842492124,-0.7153837066853342,-0.3300017806676392,-0.49316016582079103,-0.6441824903745187,-0.2039323131317624,-0.2674260588029401,-0.7301903220161008,-0.29780495598265494,-0.08645301015050752,-0.5877852642632132,-0.31842853403655763,-0.12559989718235912,-0.5356453447672384,-0.33507957752623213,-0.5110802141669584,-0.3805243699684984,-0.24136889980484608,-0.2573121390444522,-0.4320913545677284,-0.3236355092290673,-0.09542756825341267,-0.35389306965348266,-0.3106347654418779,-0.1584953622681134,-0.33255469023451173,-0.30412706505685866,-0.47846998599929996,-0.1329309590479524,-0.2887877121517134,-0.24030856230311515,-0.15533667308365418,-0.33180519115066337,-0.12647308146657332,-0.16162145607280365,-0.3161172700358576,-0.1697846298564928,-0.1640046377318866,-0.30908891861828675
3,0.0,0.0,0.0,0.0959189955765044,-0.3687681261699231,-0.07172919324928789,0.09938134037487303,-0.7241292447248455,-0.13693880174053216,0.05538562624864277,-0.8548468533376374,-0.20051921560127342,-0.030843031634742443,-0.6390236909907913,-0.24763609627170527,-0.3777289305947839,-0.8828415536864922,-0.15100730239594232,-0.22989334198846134,-1.0,-0.23870204552866855,-0.07712458914381833,-0.8419366054444073,-0.27847263215653983,-0.0793198223203215,-0.7102763424127769,-0.30673313528870233,-0.49589592465458576,-0.6555515210954432,-0.18458212715932637,-0.27632237503993784,-0.7320718954003705,-0.2724566869621727,-0.10392478714308331,-0.6085528988550085,-0.2994982736338627,-0.1318761641429761,-0.5390899916788343,-0.3229505180916118,-0.5163153420144444,-0.39677075353561464,-0.22144671895869533,-0.27727791086113607,-0.44316361957277345,-0.2967040277232676,-0.11696280313407822,-0.37224104032407407,-0.2924759551179588,-0.16174604436354972,-0.33708163792425777,-0.2937732609671504,-0.48585924788904644,-0.15077450257418862,-0.26661758580661177,-0.255403307900087,-0.1806664022859755,-0.30530420793078367,-0.14374285329888312,-0.18360270143926,-0.2945103083867853,-0.1794843959976492,-0.17788203762206228,-0.29209529316361005
3,0.0,0.0,0.0,0.08043000614478077,-0.34784937745626365,-0.07841156586876204,0.08569449719156126,-0.699234342955422,-0.15241569090935805,0.05352283291641035,-0.8426345429116161,-0.22478802776238485,-0.038376190671048166,-0.6324570003437064,-0.2802312314894294,-0.39670193461957765,-0.8720354758225817,-0.1657221962042292,-0.24972998924691547,-1.0,-0.26531528625113854,-0.09019153882512829,-0.8378987442484976,-0.31026042342539384,-0.0932720455987599,-0.7053180253779108,-0.34079886223623956,-0.5197772660696839,-0.6343641256628523,-0.20235757702000043,-0.30646786931220277,-0.7254649252058095,-0.30280960900803144,-0.11974397761320302,-0.5890210319241145,-0.3292209781262864,-0.147560467923196,-0.524729783519069,-0.3503336997388591,-0.5405450412656242,-0.3678488296001902,-0.24312894709869443,-0.30054955826004065,-0.4285564680102217,-0.33102346406267447,-0.13187966600619574,-0.34679514906137937,-0.31951958561367527,-0.1815502590874499,-0.3084118565523417,-0.31412354147270855,-0.5104773246767564,-0.11325425042185482,-0.29271767176979197,-0.27447713281440317,-0.15489221382664728,-0.3403956638389553,-0.15621676297548073,-0.15550364825926624,-0.324790304859645,-0.19494815827359052,-0.14814028226762363,-0.3174681689829969
